id,preco
13518783164498355150900635905895481162,128999.77848061828
299896161723793383246777788797566040330,127544.23571646644
316180649972302128246133616457018378621,140728.56628187402
222527157104148385909188217274642813298,133150.73677950536
160460343059850745858546502614838368036,129609.76818762602
262727202368986244371977784343233436999,126115.3813210228
254093764205800086330999281077926851120,135000.61667405337
26118184613036116787803832945215674478,137358.58497712275
216524630140335566712794225427064313,140130.5636035987
185631381169816366226494379020452029389,142026.26444746734
193325654448132563278364141820152041311,131182.3998984145
238917637717691361625086479663492481749,133869.05841101316
55430829679256880238551444522175018156,134341.45473677845
215317645068876070368783807654911699750,142875.05427685418
81597227204971961501733390453078413740,138235.25739783508
144896666825908872755051834814298387194,142326.8067801917
184599608599423525451999366981389806783,135602.63557605448
332523842755767369964829329030378044388,130323.70755569178
115343777354602647202140618045743635008,135541.77392048098
20757170217235469489036110086071917277,131355.0229948932
185526399598537813925895625787601650168,132462.43257130866
60658042813489826886245400795986219027,129546.35944816808
252469656136469704862465423825396909961,149451.41721941647
144289133420257677937750963126363910239,121855.1616443818
286704706212186527658783613441315754259,129424.34472780516
104788498292328609834480593297039083847,122723.2336259419
83091551517048057678460117003997132666,142395.7979350838
253819240599250454081144283787356606601,126095.31722823832
47552100267769170589122325402191982347,131779.21633488746
143932540867090135955180920741784357244,140717.06463597206
196345985565471044954698780677909306202,147171.47139989404
244792708737468723430839923035345593106,124742.87513125213
84589940414664494482357035061818012137,130561.983050302
272199586960887794853261858460695880945,135678.4610170228
49959439507026713714422386346459644032,127313.55961070229
281026519311657672970881937258693325762,127128.45546753885
93074564150014753673961081882123830374,139015.49774285883
26728401390792884431172378844166640182,158973.60217920545
188211565885838356078706489204052877949,128372.63963535492
72487946181948797581370306862646034491,134984.24482191607
228864048115975611203958077134700148633,130091.33391787384
112454259487642510247400972640243226784,128681.23087743844
222663295482952330188872827964862490542,122229.95606277078
174300102534868734265445704595501072047,131898.8879163331
65616068149477861830943576277231644996,135222.6685703516
12512429268260634755522419284910697215,138040.89450372892
336344009530167442733355949279054127993,123468.22457240328
